"id","age","year","wrkstat","hrs1","marital","degree","sphrs1","postlife","sex","SIBS","agekdbrn","othlang","born","neisafe","hsbio","hschem","natspac","nextgen","grass","hrlax","colsci","fmi","numpets","trust","tvhours","sop","ssi","sphrs2","educ","moos","faos","realrinc","wordsum","rhs","Male","pres"
521,68,2018,"retired",NA,"married","bachelor",6,"yes","male",3,34,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,37455,2,"can trust",NA,24,20,NA,18,NA,40,NA,NA,NA,"male",70
595,68,2018,"retired",NA,"widowed","bachelor",NA,"yes","male",5,24,"yes","yes","somewhat unsafe","yes","yes","too little","strongly agree","legal",NA,"yes",10782,NA,"can't be too careful",4,NA,NA,NA,16,NA,35,NA,3,"poor","male",66
709,68,2018,"retired",NA,"divorced","high school",NA,NA,"female",0,34,"yes","no","somewhat safe",NA,NA,NA,NA,NA,NA,NA,NA,1,"depends",3,NA,NA,NA,15,NA,53,NA,9,NA,"female",52
737,68,2018,"retired",NA,"married","bachelor",NA,"yes","female",1,NA,"no","yes","very safe",NA,NA,"about right",NA,"not legal",NA,NA,63560,3,NA,NA,38,61,NA,16,NA,31,NA,NA,"good","female",38
751,68,2018,"retired",NA,"married","high school",NA,"yes","female",3,23,"no","yes","somewhat safe",NA,NA,"too little",NA,"legal",NA,NA,45400,0,"can trust",NA,39,67,NA,12,31,25,NA,NA,"fair","female",40
901,68,2018,"retired",NA,"married","lt high school",NA,"yes","female",3,28,"no","yes","somewhat safe",NA,NA,"too much",NA,"not legal",NA,NA,17025,0,"can't be too careful",NA,34,27,NA,11,20,NA,NA,NA,"fair","female",55
930,68,2018,"retired",NA,"divorced","junior college",NA,"yes","male",5,33,"yes","no","very safe","yes","yes","about right","agree",NA,NA,"yes",4086,NA,NA,2,NA,NA,NA,14,48,49,NA,9,"good","male",44
1051,68,2018,"retired",NA,"separated","lt high school",NA,"yes","male",13,19,"no","yes","somewhat safe","no","no",NA,"strongly agree",NA,NA,"no",6242,NA,NA,9,NA,NA,NA,10,34,42,NA,2,NA,"male",37
1163,68,2018,"retired",NA,"married","high school",NA,NA,"female",2,NA,"no","yes","very safe",NA,NA,NA,NA,NA,NA,NA,NA,1,"depends",2,61,83,NA,13,NA,38,NA,6,NA,"female",46
1186,68,2018,"retired",NA,"married","graduate",22,"yes","female",2,19,"no","yes","very safe",NA,NA,"too much",NA,"legal",NA,NA,72640,0,"can trust",NA,65,85,NA,16,61,43,NA,NA,"good","female",64
1368,68,2018,"retired",NA,"married","bachelor",NA,"yes","male",2,25,"no","yes","very safe","yes","yes",NA,"agree","legal",NA,"yes",14755,NA,"can trust",4,60,76,NA,16,61,53,NA,6,"excellent","male",60
1388,68,2018,"retired",NA,"married","junior college",NA,"yes","female",3,17,"no","yes","somewhat unsafe",NA,NA,NA,NA,"not legal",NA,NA,30645,0,"depends",NA,45,58,NA,14,NA,66,9647,NA,"good","female",51
1518,68,2018,"retired",NA,"divorced","junior college",NA,NA,"female",10,28,"yes","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,30645,1,"can't be too careful",NA,NA,NA,NA,15,NA,33,NA,NA,NA,"female",31
1520,68,2018,"retired",NA,"widowed","high school",NA,"no","female",6,22,"yes","yes","very safe","yes","yes",NA,"agree",NA,NA,"no",45400,NA,NA,5,NA,NA,NA,12,NA,36,NA,7,NA,"female",39
1648,68,2018,"retired",NA,"divorced","high school",NA,"no","female",1,21,"no","yes","very safe","yes","no","too much","strongly agree",NA,NA,"no",24970,NA,NA,1,NA,NA,NA,12,NA,44,NA,8,"excellent","female",60
1705,68,2018,"retired",NA,"divorced","high school",NA,"yes","male",5,NA,"no","yes","somewhat unsafe",NA,NA,"too much",NA,"legal",NA,NA,12485,4,"can't be too careful",NA,NA,NA,NA,12,NA,24,NA,NA,"poor","male",24
1757,68,2018,"retired",NA,"married","high school",NA,"yes","male",4,24,"no","yes","somewhat safe","no","no",NA,"agree",NA,NA,"no",10782,NA,NA,3,43,43,NA,12,45,45,NA,5,NA,"male",34
1773,68,2018,"retired",NA,"divorced","high school",NA,"yes","female",8,21,"no","yes","somewhat safe","yes","yes","about right","agree","not legal",NA,"no",9647,NA,"can't be too careful",6,NA,NA,NA,12,31,28,NA,5,"fair","female",32
2021,68,2018,"retired",NA,"never married","junior college",NA,"yes","male",1,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,14755,0,"can't be too careful",3,NA,NA,NA,14,45,NA,NA,4,NA,"male",50
2116,68,2018,"retired",NA,"divorced","high school",NA,"no","male",2,47,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,6242,13,"can't be too careful",4,NA,NA,NA,12,43,26,NA,4,NA,"male",35
2232,68,2018,"retired",NA,"never married","junior college",NA,"yes","female",3,NA,"yes","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,24970,2,"can't be too careful",NA,64,71,NA,14,24,NA,NA,NA,NA,"female",64
2325,68,2018,"retired",NA,"widowed","high school",NA,"yes","female",5,20,"no","yes","very safe","yes","yes",NA,"strongly agree",NA,NA,"no",NA,NA,NA,5,NA,NA,NA,12,22,29,2951,3,NA,"female",35
2342,68,2018,"retired",NA,"divorced","high school",NA,"yes","female",4,19,"no","yes","very safe","yes","no",NA,"agree",NA,NA,"no",4086,NA,NA,5,NA,NA,NA,14,32,27,NA,6,NA,"female",49
1847,68,2018,"keeping house",NA,"widowed","high school",NA,NA,"male",14,22,"yes","yes","somewhat safe",NA,NA,NA,NA,"not legal",NA,NA,20430,0,"depends",NA,NA,NA,NA,15,NA,40,20430,NA,NA,"male",62
2301,68,2018,"keeping house",NA,"married","lt high school",NA,"yes","male",8,20,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,5107,0,"can't be too careful",NA,38,27,NA,10,NA,46,NA,NA,NA,"male",38
899,68,2018,"other",NA,"married","high school",NA,"yes","male",NA,28,"no","yes","somewhat safe",NA,NA,NA,NA,"legal",NA,NA,NA,1,"can't be too careful",6,50,32,NA,12,42,NA,NA,4,NA,"male",38
1282,69,2018,"working fulltime",89,"married","junior college",50,NA,"male",5,19,"yes","yes","somewhat safe",NA,NA,NA,NA,"not legal",2,NA,54480,1,"can't be too careful",2,74,84,NA,16,NA,45,45400,6,NA,"male",60
1469,69,2018,"working fulltime",50,"married","high school",NA,"no","female",1,21,"yes","yes","somewhat safe",NA,NA,NA,NA,NA,2,NA,119879,0,"can't be too careful",NA,49,46,NA,13,37,62,45400,NA,NA,"female",33
134,69,2018,"working fulltime",40,"married","high school",24,"yes","male",2,22,"yes","yes","very safe",NA,NA,"too little",NA,"not legal",3,NA,119879,1,"depends",NA,51,63,NA,15,47,57,72640,NA,"fair","male",72
1733,69,2018,"working fulltime",40,"married","high school",NA,"yes","male",0,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",5,NA,30645,2,"can't be too careful",3,61,80,NA,12,31,45,17025,6,NA,"male",70
1751,69,2018,"working fulltime",37,"divorced","high school",NA,"yes","female",4,17,"no","yes","very safe","no","no",NA,"agree",NA,4,"no",12485,NA,NA,1,NA,NA,NA,12,NA,49,6242,6,NA,"female",25
198,69,2018,"working fulltime",35,"married","high school",NA,"yes","male",15,21,"yes","no","somewhat safe","yes","no",NA,"agree",NA,3,"no",45400,NA,NA,3,26,22,NA,12,25,45,10782,6,NA,"male",37
125,69,2018,"working parttime",30,"never married","bachelor",NA,"yes","male",2,NA,"yes","yes","somewhat safe","yes","no","too little","agree",NA,5,"yes",14755,NA,NA,4,NA,NA,NA,16,NA,40,14755,6,"excellent","male",49
